2025-03-27 21:59:53 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:59:56 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:59:59 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 22:00:01 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 22:00:04 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 22:00:06 - Клик по координатам: (1332, 977) с кнопкой right
2025-03-27 22:00:09 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 22:00:11 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 22:00:24 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 22:00:26 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 22:00:29 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 22:00:32 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 22:00:34 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 22:00:37 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 22:00:39 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 22:00:42 - Клик по координатам: (1332, 977) с кнопкой right
2025-03-27 22:00:44 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 22:00:47 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 22:01:00 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 22:01:02 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 22:01:05 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 22:01:07 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 22:01:10 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 22:01:12 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 22:01:15 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 22:01:18 - Клик по координатам: (1332, 977) с кнопкой right
2025-03-27 22:01:20 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 22:01:23 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 22:01:35 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 22:01:38 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 22:01:40 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 22:01:43 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 22:01:46 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 22:01:48 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 22:01:51 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 22:01:53 - Клик по координатам: (1332, 977) с кнопкой right
2025-03-27 22:01:56 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 22:01:58 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 22:02:11 - Клик по координатам: (1816, 519) с кнопкой left
2025-03-27 22:02:13 - Клик по координатам: (1806, 392) с кнопкой right
2025-03-27 22:02:16 - Клик по координатам: (1816, 519) с кнопкой left
2025-03-27 22:02:18 - Клик по координатам: (1815, 1019) с кнопкой left
2025-03-27 22:02:21 - Клик по координатам: (1805, 892) с кнопкой right
2025-03-27 22:02:23 - Клик по координатам: (1815, 1019) с кнопкой left
2025-03-27 22:02:26 - Клик по координатам: (1812, 510) с кнопкой left
2025-03-27 22:02:28 - Клик по координатам: (1802, 383) с кнопкой right
2025-03-27 22:02:31 - Клик по координатам: (1812, 510) с кнопкой left
2025-03-27 22:02:33 - Клик по координатам: (1178, 516) с кнопкой left
2025-03-27 22:02:36 - Клик по координатам: (1168, 389) с кнопкой right
2025-03-27 22:02:38 - Клик по координатам: (1178, 516) с кнопкой left
2025-03-27 22:02:41 - Клик по координатам: (522, 489) с кнопкой left
2025-03-27 22:02:43 - Клик по координатам: (512, 362) с кнопкой right
2025-03-27 22:02:46 - Клик по координатам: (522, 489) с кнопкой left
2025-03-27 22:02:48 - Клик по координатам: (1176, 556) с кнопкой left
2025-03-27 22:02:51 - Клик по координатам: (1166, 429) с кнопкой right
2025-03-27 22:02:53 - Клик по координатам: (1176, 556) с кнопкой left
2025-03-27 22:02:56 - Клик по координатам: (519, 545) с кнопкой left
2025-03-27 22:02:58 - Клик по координатам: (509, 418) с кнопкой right
2025-03-27 22:03:01 - Клик по координатам: (519, 545) с кнопкой left
2025-03-27 22:03:03 - Клик по координатам: (1817, 1012) с кнопкой left
2025-03-27 22:03:06 - Клик по координатам: (1807, 885) с кнопкой right
2025-03-27 22:03:08 - Клик по координатам: (1817, 1012) с кнопкой left
2025-03-27 22:03:11 - Клик по координатам: (1191, 1011) с кнопкой left
2025-03-27 22:03:13 - Клик по координатам: (1181, 884) с кнопкой right
2025-03-27 22:03:16 - Клик по координатам: (1191, 1011) с кнопкой left
2025-03-27 22:03:18 - Клик по координатам: (1187, 1018) с кнопкой left
2025-03-27 22:03:21 - Клик по координатам: (1177, 891) с кнопкой right
2025-03-27 22:03:23 - Клик по координатам: (1187, 1018) с кнопкой left
2025-03-27 22:03:26 - Клик по координатам: (1816, 519) с кнопкой left
2025-03-27 22:03:28 - Клик по координатам: (1826, 390) с кнопкой right
2025-03-27 22:03:31 - Клик по координатам: (1816, 519) с кнопкой left
